file,frame_ms,W,num_bins,smooth_bins,median_width,gt_count,pred_count,matched,missing,extra,MAE_ms,RMSE_ms,balanced_frame_error,match_tolerance_ms,T_energy,T_centroid,fallback
phone_F1.wav,20.0,5.0,80,1,3,2,4,2,0,2,9.999999999999897,9.999999999999897,0.07207207207207207,150.0,0.001619123138443683,642.2979905977082,False
phone_M1.wav,20.0,5.0,80,1,3,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00021889486589619383,1073.2445579304815,False
studio_F1.wav,20.0,5.0,80,1,3,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.00028474472934071843,1222.42371040539,False
studio_M1.wav,20.0,5.0,80,1,3,2,2,2,0,0,35.00000000000003,38.07886552931957,0.03333333333333333,150.0,0.000341885733292864,1117.2064730198902,False
phone_F1.wav,20.0,5.0,80,1,5,2,4,2,0,2,9.999999999999897,9.999999999999897,0.07207207207207207,150.0,0.001619123138443683,642.2979905977082,False
phone_M1.wav,20.0,5.0,80,1,5,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00021889486589619383,1073.2445579304815,False
studio_F1.wav,20.0,5.0,80,1,5,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.00028474472934071843,1222.42371040539,False
studio_M1.wav,20.0,5.0,80,1,5,2,2,2,0,0,35.00000000000003,38.07886552931957,0.03333333333333333,150.0,0.000341885733292864,1117.2064730198902,False
phone_F1.wav,20.0,5.0,80,3,1,2,4,2,0,2,9.999999999999897,9.999999999999897,0.07657657657657657,150.0,0.0034637356453094976,610.5778376386642,False
phone_M1.wav,20.0,5.0,80,3,1,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00021889486589619383,1123.9517450142355,False
studio_F1.wav,20.0,5.0,80,3,1,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.000249153633072419,1234.1921215714403,False
studio_M1.wav,20.0,5.0,80,3,1,2,2,2,0,0,35.00000000000003,38.07886552931957,0.03333333333333333,150.0,0.000341885733292864,1247.6540277723195,False
phone_F1.wav,20.0,5.0,80,3,3,2,4,2,0,2,9.999999999999897,9.999999999999897,0.07657657657657657,150.0,0.0034637356453094976,610.5778376386642,False
phone_M1.wav,20.0,5.0,80,3,3,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00021889486589619383,1123.9517450142355,False
studio_F1.wav,20.0,5.0,80,3,3,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.000249153633072419,1234.1921215714403,False
studio_M1.wav,20.0,5.0,80,3,3,2,2,2,0,0,35.00000000000003,38.07886552931957,0.03333333333333333,150.0,0.000341885733292864,1247.6540277723195,False
phone_F1.wav,20.0,5.0,80,3,5,2,4,2,0,2,9.999999999999897,9.999999999999897,0.07657657657657657,150.0,0.0034637356453094976,610.5778376386642,False
phone_M1.wav,20.0,5.0,80,3,5,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00021889486589619383,1123.9517450142355,False
